Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,91506,,27503,,1094115,,,2
H3,2017,2017,2017,6,1,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,513,,251,,7869,,,2
H3,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,11943,,3882,,142805,,,2
H3,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,146109,,235626,,13853781,,,0
H3,2017,2017,2017,6,1,2,Export,414,Kuwait,KWT,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1669,,30590,,45335,,,0
H3,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,4265,,1872,,46088,,,0
H3,2017,2017,2017,6,1,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,322,,567,,4949,,,2
H3,2017,2017,2017,6,1,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,88480,,39470,,1392979,,,0
H3,2017,2017,2017,6,1,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,5648,,3675,,175140,,,0
H3,2017,2017,2017,6,1,1,Import,458,Malaysia,MYS,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,55077,,24212,,641655,,,4
H3,2017,2017,2017,6,1,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1077279,,271054,,10180550,,,4
H3,2017,2017,2017,6,1,1,Import,484,Mexico,MEX,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1350277,,405702,,10751382,,,4
H3,2017,2017,2017,6,1,2,Export,484,Mexico,MEX,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,124884,,42981,,1614362,,,4
H3,2017,2017,2017,6,1,1,Import,554,New Zealand,NZL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,118935,,52625,,1394596,,,4
H3,2017,2017,2017,6,1,2,Export,554,New Zealand,NZL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,4841,,,,50845,,,0
